Gene ID	Symbol	Conservation (age)	Expression Capacity	Featured Expression	Featured Methylation	Variation (disease/trait-association)	Interaction	Small Protein
HSALNG0135343	-	11. Boreoeutheria	HC	yes	yes	yes	-	-
HSALNG0135712	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0147312	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0039543	-	10. Euarchontoglires	HC	-	-	yes	-	-
HSALNG0042433	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0044861	-	14. Mammalia	NE	-	-	yes	-	-
HSALNG0045235	-	13. Theria	MC	-	yes	yes	-	-
HSALNG0045596	-	12. Eutheria	NE	-	-	yes	-	-
HSALNG0045995	-	11. Boreoeutheria	LC	-	-	yes	-	yes
HSALNG0046396	-	13. Theria	MC	-	-	yes	-	-
HSALNG0149045	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0047378	-	7. Simiiformes	MC	-	-	yes	-	-
HSALNG0048005	-	15. Amniota	MC	-	-	yes	-	-
HSALNG0048331	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0048701	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0049401	-	11. Boreoeutheria	NE	-	yes	yes	-	-
HSALNG0049763	-	12. Eutheria	NE	-	-	yes	-	-
HSALNG0050098	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0051801	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0052630	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0055585	-	15. Amniota	HC	-	yes	yes	-	-
HSALNG0055959	-	15. Amniota	MC	-	yes	yes	-	-
HSALNG0056394	-	16. Tetrapoda	NE	-	-	yes	-	-
HSALNG0056771	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0057488	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0057866	-	6. Catarrhini	MC	-	-	yes	-	-
HSALNG0149939	-	1. Homo	HC	-	-	yes	-	-
HSALNG0058636	-	11. Boreoeutheria	MC	-	-	yes	-	yes
HSALNG0059017	-	10. Euarchontoglires	MC	-	-	yes	-	-
HSALNG0149740	-	1. Homo	MC	-	-	yes	-	-
HSALNG0060625	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0061028	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0062865	-	13. Theria	HC	yes	-	yes	-	-
HSALNG0063601	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0065195	-	1. Homo	LC	-	-	yes	-	-
HSALNG0065604	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0066482	-	16. Tetrapoda	MC	-	-	yes	-	-
HSALNG0066937	-	11. Boreoeutheria	NE	-	-	yes	-	-
HSALNG0067328	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0067694	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0068936	-	7. Simiiformes	LC	-	yes	yes	-	-
HSALNG0069657	-	13. Theria	HC	yes	-	yes	-	-
HSALNG0071954	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0072324	-	14. Mammalia	MC	yes	-	yes	-	-
HSALNG0072718	-	15. Amniota	MC	yes	-	yes	-	-
HSALNG0073801	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0074531	-	12. Eutheria	HC	yes	yes	yes	-	-
HSALNG0074880	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0075547	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0075860	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0076970	-	17. Euteleostomi	HC	yes	-	yes	yes	yes
HSALNG0078139	-	11. Boreoeutheria	MC	yes	-	yes	-	-
HSALNG0078873	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0079621	-	12. Eutheria	NE	-	-	yes	-	-
HSALNG0081097	-	11. Boreoeutheria	MC	-	yes	yes	-	-
HSALNG0081424	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0142909	-	13. Theria	NE	-	yes	yes	-	-
HSALNG0083281	-	13. Theria	MC	-	-	yes	-	-
HSALNG0084017	-	13. Theria	HC	yes	-	yes	-	-
HSALNG0143196	-	13. Theria	MC	yes	-	yes	-	-
HSALNG0085223	-	12. Eutheria	HC	-	yes	yes	-	-
HSALNG0085586	-	15. Amniota	HC	yes	-	yes	-	yes
HSALNG0085997	-	13. Theria	HC	-	-	yes	-	-
HSALNG0086426	-	15. Amniota	MC	-	-	yes	-	-
HSALNG0143062	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0087719	-	15. Amniota	HC	yes	-	yes	-	-
HSALNG0143100	-	2. Hominini	MC	-	-	yes	-	-
HSALNG0088485	-	13. Theria	HC	yes	-	yes	-	-
HSALNG0091646	-	3. Homininae	MC	-	-	yes	-	-
HSALNG0093681	-	11. Boreoeutheria	HC	yes	-	yes	-	-
HSALNG0094060	-	11. Boreoeutheria	NE	-	-	yes	-	-
HSALNG0143751	-	6. Catarrhini	NE	-	-	yes	-	-
HSALNG0095096	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0096113	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0096499	-	14. Mammalia	HC	yes	-	yes	-	-
HSALNG0097662	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0000285	-	17. Euteleostomi	NE	-	-	yes	-	-
HSALNG0098531	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0001646	-	7. Simiiformes	HC	-	-	yes	-	-
HSALNG0099643	-	1. Homo	HC	yes	-	yes	-	-
HSALNG0100045	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0144104	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0102138	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0141786	-	13. Theria	MC	-	-	yes	-	-
HSALNG0102519	-	13. Theria	HC	yes	-	yes	-	-
HSALNG0004580	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0103321	-	1. Homo	NE	-	-	yes	-	-
HSALNG0144159	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0005784	-	13. Theria	MC	-	-	yes	-	-
HSALNG0142348	-	13. Theria	HC	yes	yes	yes	-	-
HSALNG0144360	-	12. Eutheria	HC	yes	-	yes	yes	-
HSALNG0007616	-	13. Theria	HC	-	-	yes	-	-
HSALNG0105993	-	16. Tetrapoda	MC	-	-	yes	-	-
HSALNG0008780	-	12. Eutheria	NE	-	-	yes	-	yes
HSALNG0009180	-	1. Homo	MC	-	yes	yes	-	-
HSALNG0107536	-	11. Boreoeutheria	LC	-	-	yes	-	-
HSALNG0107876	-	13. Theria	MC	yes	yes	yes	-	-
HSALNG0010006	-	13. Theria	LC	-	-	yes	-	-
HSALNG0108202	-	13. Theria	MC	-	-	yes	-	-
HSALNG0010788	-	14. Mammalia	MC	-	yes	yes	-	-
HSALNG0144645	-	10. Euarchontoglires	HC	yes	-	yes	-	-
HSALNG0011159	-	4. Hominidae	MC	-	-	yes	-	-
HSALNG0011917	-	13. Theria	MC	yes	-	yes	-	-
HSALNG0109973	-	16. Tetrapoda	MC	yes	-	yes	-	-
HSALNG0012570	-	17. Euteleostomi	MC	-	-	yes	-	yes
HSALNG0110721	-	12. Eutheria	MC	yes	-	yes	-	yes
HSALNG0012915	-	12. Eutheria	NE	-	yes	yes	-	-
HSALNG0013222	-	1. Homo	MC	-	-	yes	-	-
HSALNG0111488	-	15. Amniota	MC	-	yes	yes	-	-
HSALNG0013598	-	17. Euteleostomi	MC	-	-	yes	-	-
HSALNG0111858	-	15. Amniota	MC	yes	-	yes	yes	-
HSALNG0013956	-	13. Theria	MC	-	-	yes	-	-
HSALNG0112275	-	16. Tetrapoda	MC	-	-	yes	-	-
HSALNG0014317	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0112648	-	16. Tetrapoda	LC	-	yes	yes	-	-
HSALNG0113028	-	16. Tetrapoda	MC	yes	-	yes	yes	-
HSALNG0146484	-	12. Eutheria	HC	yes	yes	yes	-	-
HSALNG0145206	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0016192	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0115253	-	12. Eutheria	MC	yes	-	yes	yes	-
HSALNG0017426	-	13. Theria	HC	yes	-	yes	-	-
HSALNG0115630	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0115969	-	12. Eutheria	MC	-	-	yes	-	yes
HSALNG0018188	-	10. Euarchontoglires	LC	-	yes	yes	-	-
HSALNG0116344	-	13. Theria	HC	yes	-	yes	-	yes
HSALNG0116695	-	14. Mammalia	NE	-	-	yes	-	-
HSALNG0117051	-	16. Tetrapoda	NE	-	yes	yes	-	yes
HSALNG0117445	-	14. Mammalia	MC	-	yes	yes	-	-
HSALNG0019693	-	13. Theria	MC	-	-	yes	-	-
HSALNG0117826	-	16. Tetrapoda	MC	yes	-	yes	-	-
HSALNG0146257	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0020486	-	16. Tetrapoda	MC	yes	-	yes	-	-
HSALNG0118948	-	15. Amniota	MC	-	-	yes	-	-
HSALNG0021256	-	11. Boreoeutheria	MC	-	yes	yes	-	-
HSALNG0119277	-	16. Tetrapoda	NE	-	-	yes	-	yes
HSALNG0021660	-	13. Theria	HC	-	-	yes	-	-
HSALNG0022035	-	13. Theria	MC	-	-	yes	-	-
HSALNG0119958	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0120690	-	1. Homo	HC	yes	yes	yes	-	-
HSALNG0121463	-	14. Mammalia	MC	yes	-	yes	-	-
HSALNG0024355	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0122550	-	15. Amniota	MC	-	-	yes	-	-
HSALNG0025125	-	7. Simiiformes	HC	yes	yes	yes	-	-
HSALNG0025526	-	14. Mammalia	HC	yes	-	yes	-	-
HSALNG0123244	-	11. Boreoeutheria	HC	yes	-	yes	-	-
HSALNG0025953	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0123610	-	5. Hominoidea	MC	-	yes	yes	-	-
HSALNG0026326	-	15. Amniota	MC	-	-	yes	-	-
HSALNG0124025	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0026681	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0124379	-	12. Eutheria	HC	yes	yes	yes	-	-
HSALNG0027054	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0027428	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0125493	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0028246	-	15. Amniota	MC	yes	yes	yes	-	-
HSALNG0126265	-	11. Boreoeutheria	HC	-	yes	yes	-	-
HSALNG0029027	-	16. Tetrapoda	HC	yes	-	yes	-	-
HSALNG0126672	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0029416	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0127412	-	15. Amniota	HC	-	-	yes	-	-
HSALNG0030202	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0030686	-	14. Mammalia	HC	yes	-	yes	-	-
HSALNG0128173	-	10. Euarchontoglires	HC	-	-	yes	-	-
HSALNG0031444	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0128948	-	12. Eutheria	HC	yes	yes	yes	-	-
HSALNG0129303	-	6. Catarrhini	HC	yes	-	yes	-	-
HSALNG0032579	-	10. Euarchontoglires	HC	-	-	yes	-	-
HSALNG0032929	-	1. Homo	MC	-	-	yes	-	-
HSALNG0130423	-	14. Mammalia	NE	-	-	yes	-	-
HSALNG0131748	-	1. Homo	MC	-	-	yes	-	-
HSALNG0035301	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0035669	-	13. Theria	MC	-	-	yes	-	yes
HSALNG0132819	-	8. Haplorrhini	MC	-	-	yes	-	-
HSALNG0036415	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0148182	-	13. Theria	MC	-	-	yes	-	-
HSALNG0133873	-	16. Tetrapoda	HC	yes	yes	yes	-	-
HSALNG0037288	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0134241	-	12. Eutheria	HC	yes	-	yes	yes	-
HSALNG0037678	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0038067	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0038459	-	13. Theria	NE	-	-	yes	-	-
HSALNG0135352	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0039544	-	6. Catarrhini	LC	-	-	yes	-	-
HSALNG0039916	-	8. Haplorrhini	MC	-	-	yes	-	-
HSALNG0137142	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0040747	-	6. Catarrhini	LC	-	-	yes	-	-
HSALNG0041193	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0042039	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0043228	-	13. Theria	MC	yes	-	yes	-	-
HSALNG0044470	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0044863	-	17. Euteleostomi	NE	-	-	yes	-	yes
HSALNG0148718	-	13. Theria	HC	-	-	yes	-	-
HSALNG0045597	-	12. Eutheria	HC	yes	-	yes	yes	-
HSALNG0045998	-	13. Theria	HC	-	-	yes	-	-
HSALNG0046397	-	11. Boreoeutheria	HC	-	-	yes	-	-
HSALNG0149029	-	13. Theria	MC	-	-	yes	-	-
HSALNG0047380	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0047661	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0048006	-	9. Primates	MC	-	-	yes	-	-
HSALNG0149357	-	13. Theria	MC	-	-	yes	-	-
HSALNG0049033	-	1. Homo	NE	-	-	yes	-	-
HSALNG0049402	-	12. Eutheria	NE	-	yes	yes	-	-
HSALNG0050504	-	16. Tetrapoda	MC	yes	-	yes	-	-
HSALNG0050942	-	12. Eutheria	LC	-	yes	yes	-	-
HSALNG0052634	-	16. Tetrapoda	MC	-	-	yes	-	-
HSALNG0053814	-	9. Primates	MC	-	-	yes	-	-
HSALNG0054923	-	13. Theria	LC	-	-	yes	-	-
HSALNG0055258	-	3. Homininae	MC	-	-	yes	-	yes
HSALNG0055586	-	1. Homo	HC	-	-	yes	-	-
HSALNG0055960	-	10. Euarchontoglires	HC	-	-	yes	-	-
HSALNG0056395	-	13. Theria	MC	yes	-	yes	-	-
HSALNG0149905	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0149645	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0058261	-	6. Catarrhini	HC	yes	yes	yes	-	-
HSALNG0059018	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0061029	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0061399	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0061792	-	13. Theria	MC	yes	-	yes	-	-
HSALNG0062866	-	13. Theria	MC	-	yes	yes	-	-
HSALNG0063602	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0064382	-	14. Mammalia	LC	-	yes	yes	-	yes
HSALNG0065196	-	11. Boreoeutheria	LC	-	-	yes	-	-
HSALNG0065605	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0065991	-	15. Amniota	LC	-	yes	yes	-	-
HSALNG0066938	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0067332	-	12. Eutheria	MC	-	-	yes	-	yes
HSALNG0067695	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0068562	-	13. Theria	MC	-	-	yes	-	-
HSALNG0068938	-	11. Boreoeutheria	HC	yes	yes	yes	-	-
HSALNG0070442	-	15. Amniota	MC	yes	-	yes	-	-
HSALNG0070860	-	13. Theria	HC	yes	-	yes	-	-
HSALNG0071631	-	14. Mammalia	MC	-	yes	yes	-	-
HSALNG0071955	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0072719	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0073075	-	7. Simiiformes	MC	yes	-	yes	yes	yes
HSALNG0073435	-	12. Eutheria	MC	-	-	yes	yes	-
HSALNG0073805	-	13. Theria	NE	-	-	yes	-	-
HSALNG0150729	-	12. Eutheria	HC	yes	yes	yes	-	-
HSALNG0151011	-	1. Homo	HC	-	-	yes	-	-
HSALNG0076574	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0076971	-	11. Boreoeutheria	HC	-	-	yes	-	-
HSALNG0077365	-	6. Catarrhini	MC	-	-	yes	-	-
HSALNG0078504	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0079218	-	13. Theria	MC	yes	-	yes	-	yes
HSALNG0079622	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0080026	-	14. Mammalia	HC	yes	-	yes	-	yes
HSALNG0080372	-	16. Tetrapoda	MC	yes	-	yes	-	-
HSALNG0081098	-	8. Haplorrhini	MC	-	yes	yes	-	-
HSALNG0081429	-	16. Tetrapoda	NE	-	-	yes	-	-
HSALNG0142958	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0085587	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0085998	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0086427	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0143250	-	13. Theria	HC	yes	yes	yes	-	-
HSALNG0088123	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0088486	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0088823	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0089213	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0090843	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0091647	-	4. Hominidae	MC	-	-	yes	-	-
HSALNG0092070	-	16. Tetrapoda	MC	-	-	yes	-	-
HSALNG0092908	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0093300	-	13. Theria	MC	-	-	yes	-	-
HSALNG0094061	-	12. Eutheria	NE	-	-	yes	-	-
HSALNG0143752	-	16. Tetrapoda	NE	-	-	yes	-	-
HSALNG0096502	-	10. Euarchontoglires	NE	-	-	yes	-	-
HSALNG0097663	-	5. Hominoidea	MC	-	-	yes	-	-
HSALNG0098532	-	10. Euarchontoglires	MC	-	-	yes	-	-
HSALNG0098910	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0001290	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0099644	-	10. Euarchontoglires	HC	yes	-	yes	-	-
HSALNG0002010	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0002711	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0100869	-	11. Boreoeutheria	LC	-	-	yes	-	-
HSALNG0101324	-	12. Eutheria	NE	-	-	yes	-	-
HSALNG0102139	-	13. Theria	HC	yes	-	yes	-	-
HSALNG0004202	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0102521	-	12. Eutheria	HC	yes	-	yes	-	yes
HSALNG0102932	-	15. Amniota	HC	yes	yes	yes	-	-
HSALNG0103322	-	11. Boreoeutheria	NE	-	-	yes	-	-
HSALNG0103712	-	16. Tetrapoda	MC	-	-	yes	yes	yes
HSALNG0104098	-	8. Haplorrhini	NE	-	yes	yes	-	-
HSALNG0105619	-	13. Theria	HC	yes	-	yes	-	-
HSALNG0141938	-	13. Theria	HC	yes	-	yes	-	-
HSALNG0106759	-	13. Theria	HC	yes	-	yes	-	-
HSALNG0008782	-	12. Eutheria	MC	-	-	yes	-	yes
HSALNG0107537	-	7. Simiiformes	MC	yes	-	yes	-	-
HSALNG0107877	-	14. Mammalia	HC	-	-	yes	-	-
HSALNG0108203	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0010383	-	13. Theria	MC	yes	-	yes	-	-
HSALNG0010792	-	16. Tetrapoda	MC	-	yes	yes	-	-
HSALNG0109267	-	1. Homo	HC	-	-	yes	-	-
HSALNG0109636	-	11. Boreoeutheria	HC	-	-	yes	-	-
HSALNG0011919	-	13. Theria	MC	-	-	yes	-	-
HSALNG0012247	-	7. Simiiformes	MC	yes	-	yes	-	-
HSALNG0110343	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0111125	-	13. Theria	HC	yes	-	yes	-	-
HSALNG0013957	-	11. Boreoeutheria	MC	-	yes	yes	-	-
HSALNG0112650	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0014697	-	12. Eutheria	MC	yes	-	yes	-	yes
HSALNG0015028	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0113725	-	1. Homo	MC	-	-	yes	-	-
HSALNG0114089	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0016193	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0114487	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0114851	-	10. Euarchontoglires	HC	-	-	yes	-	-
HSALNG0017025	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0017427	-	14. Mammalia	HC	yes	-	yes	-	-
HSALNG0017792	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0018189	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0116697	-	17. Euteleostomi	HC	yes	-	yes	-	-
HSALNG0117431	-	10. Euarchontoglires	LC	-	yes	yes	-	-
HSALNG0020100	-	13. Theria	LC	-	yes	yes	-	-
HSALNG0118215	-	17. Euteleostomi	MC	yes	-	yes	-	-
HSALNG0118595	-	13. Theria	HC	yes	-	yes	-	-
HSALNG0020838	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0119279	-	13. Theria	HC	yes	-	yes	yes	yes
HSALNG0021661	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0022481	-	15. Amniota	LC	-	yes	yes	-	-
HSALNG0023287	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0121095	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0023641	-	1. Homo	HC	yes	-	yes	-	-
HSALNG0121465	-	16. Tetrapoda	HC	-	-	yes	-	-
HSALNG0121821	-	13. Theria	HC	yes	-	yes	-	-
HSALNG0147754	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0147479	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0025527	-	11. Boreoeutheria	NE	-	-	yes	-	-
HSALNG0025954	-	15. Amniota	MC	-	-	yes	-	-
HSALNG0124029	-	16. Tetrapoda	HC	-	-	yes	-	yes
HSALNG0026683	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0125889	-	10. Euarchontoglires	MC	yes	yes	yes	-	-
HSALNG0147615	-	1. Homo	HC	yes	-	yes	-	yes
HSALNG0126266	-	11. Boreoeutheria	LC	-	-	yes	-	-
HSALNG0029030	-	12. Eutheria	NE	-	-	yes	-	-
HSALNG0126673	-	17. Euteleostomi	MC	-	-	yes	-	-
HSALNG0029419	-	17. Euteleostomi	MC	-	yes	yes	-	yes
HSALNG0127796	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0128175	-	13. Theria	HC	-	-	yes	-	-
HSALNG0147987	-	10. Euarchontoglires	HC	yes	yes	yes	-	-
HSALNG0128587	-	13. Theria	HC	yes	-	yes	-	-
HSALNG0148006	-	12. Eutheria	MC	yes	yes	yes	-	-
HSALNG0031824	-	6. Catarrhini	LC	-	-	yes	yes	-
HSALNG0032583	-	6. Catarrhini	MC	-	yes	yes	-	-
HSALNG0130425	-	17. Euteleostomi	LC	-	-	yes	-	-
HSALNG0033275	-	11. Boreoeutheria	MC	-	yes	yes	-	-
HSALNG0130772	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0033645	-	12. Eutheria	LC	-	yes	yes	-	-
HSALNG0131155	-	7. Simiiformes	HC	-	-	yes	-	-
HSALNG0034453	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0034874	-	11. Boreoeutheria	MC	yes	yes	yes	yes	-
HSALNG0035302	-	12. Eutheria	NE	-	-	yes	-	-
HSALNG0035670	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0036416	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0036822	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0037289	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0134242	-	11. Boreoeutheria	HC	yes	-	yes	-	-
HSALNG0134614	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0038068	-	1. Homo	NE	-	-	yes	-	-
HSALNG0038462	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0038824	-	11. Boreoeutheria	HC	yes	-	yes	-	-
HSALNG0039196	-	11. Boreoeutheria	LC	-	-	yes	-	-
HSALNG0136092	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0039546	-	1. Homo	HC	-	yes	yes	-	-
HSALNG0136755	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0040316	-	13. Theria	LC	-	-	yes	-	-
HSALNG0040760	-	14. Mammalia	LC	-	yes	yes	-	-
HSALNG0137988	-	12. Eutheria	LC	-	yes	yes	yes	yes
HSALNG0042040	-	13. Theria	MC	-	-	yes	-	-
HSALNG0042436	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0043229	-	11. Boreoeutheria	MC	yes	-	yes	-	-
HSALNG0043644	-	12. Eutheria	NE	-	-	yes	-	-
HSALNG0151280	-	7. Simiiformes	HC	yes	yes	yes	-	-
HSALNG0044075	-	5. Hominoidea	MC	-	-	yes	-	-
HSALNG0046398	-	13. Theria	MC	-	-	yes	-	-
HSALNG0046719	-	11. Boreoeutheria	LC	-	-	yes	-	-
HSALNG0047381	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0149344	-	16. Tetrapoda	MC	-	yes	yes	-	-
HSALNG0048703	-	11. Boreoeutheria	MC	yes	-	yes	-	-
HSALNG0049034	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0049403	-	11. Boreoeutheria	NE	-	-	yes	-	-
HSALNG0149144	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0050100	-	13. Theria	MC	-	yes	yes	-	-
HSALNG0050507	-	10. Euarchontoglires	HC	yes	-	yes	-	-
HSALNG0051805	-	14. Mammalia	LC	-	-	yes	-	-
HSALNG0052209	-	12. Eutheria	MC	yes	yes	yes	-	-
HSALNG0053035	-	17. Euteleostomi	MC	-	yes	yes	-	-
HSALNG0053428	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0053817	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0054924	-	11. Boreoeutheria	MC	-	yes	yes	-	-
HSALNG0056396	-	11. Boreoeutheria	MC	yes	-	yes	-	-
HSALNG0056773	-	14. Mammalia	MC	-	yes	yes	-	-
HSALNG0057130	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0057868	-	10. Euarchontoglires	HC	yes	-	yes	-	yes
HSALNG0059829	-	11. Boreoeutheria	MC	-	yes	yes	-	-
HSALNG0149791	-	16. Tetrapoda	MC	-	-	yes	-	-
HSALNG0062867	-	16. Tetrapoda	MC	-	-	yes	-	-
HSALNG0063604	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0063981	-	15. Amniota	HC	yes	-	yes	-	-
HSALNG0064384	-	16. Tetrapoda	MC	-	-	yes	-	-
HSALNG0064748	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0066939	-	15. Amniota	NE	-	yes	yes	-	-
HSALNG0067330	-	13. Theria	HC	-	-	yes	-	-
HSALNG0067696	-	15. Amniota	MC	yes	-	yes	-	-
HSALNG0068141	-	13. Theria	NE	-	-	yes	-	-
HSALNG0069659	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0070444	-	13. Theria	MC	-	-	yes	-	-
HSALNG0072325	-	9. Primates	MC	-	-	yes	-	-
HSALNG0150672	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0073436	-	12. Eutheria	MC	-	-	yes	yes	-
HSALNG0073808	-	11. Boreoeutheria	HC	yes	yes	yes	-	-
HSALNG0075225	-	15. Amniota	HC	-	-	yes	-	-
